teaser_id,event_name,timestamp
11000,impression,2020-08-22 17:48:58
11017,click,2019-05-17 16:10:50
11005,impression,2020-08-23 03:09:53
11009,click,2020-02-24 05:09:36
11006,impression,2020-06-16 03:40:10
11001,impression,2019-09-18 18:31:42
11020,impression,2019-12-31 19:44:29
11018,click,2020-10-10 13:42:50
11015,impression,2019-03-06 02:46:27
11020,impression,2020-01-12 19:14:36
11009,impression,2020-10-12 01:54:31
11004,click,2019-01-08 19:44:28
11004,click,2020-07-15 10:09:11
11011,click,2020-12-12 12:38:24
11015,click,2020-05-21 11:24:25
11003,impression,2020-12-07 02:50:52
11016,impression,2020-09-19 16:50:14
11020,impression,2019-02-21 20:52:35
11011,click,2019-06-19 05:25:07
11008,click,2019-02-22 03:27:28
11015,click,2019-02-07 23:29:42
11011,click,2020-07-01 21:27:36
11001,impression,2020-06-16 14:21:44
11020,impression,2020-12-25 02:18:22
11003,impression,2019-11-16 14:10:29
11020,click,2019-08-20 14:15:04
11013,click,2020-08-27 11:36:14
11006,click,2019-09-23 07:18:50
11015,click,2019-02-19 10:07:21
11020,click,2020-03-06 20:37:32
11002,impression,2020-03-10 01:21:29
11017,click,2020-11-20 22:49:14
11005,click,2020-04-19 13:46:22
11020,impression,2020-12-24 02:01:20
11010,impression,2019-12-09 11:19:59
11003,impression,2020-03-06 16:14:21
11010,impression,2019-11-12 19:48:38
11003,impression,2019-06-14 22:10:02
11000,click,2020-10-11 23:19:36
11014,impression,2020-12-14 16:56:57
11008,click,2019-03-28 09:11:15
11004,impression,2019-07-17 19:51:59
11019,impression,2019-12-12 12:06:15
11016,click,2019-12-10 15:53:50
11002,impression,2019-05-15 18:56:33
11002,click,2020-09-05 16:14:46
11000,impression,2020-08-18 12:40:44
11008,impression,2020-12-17 10:03:30
11020,click,2020-10-01 18:02:37
11000,click,2020-08-09 04:31:57
11003,click,2020-08-12 15:35:39
11016,impression,2019-08-13 16:25:08
11007,impression,2019-06-19 02:42:30
11003,click,2020-12-08 07:45:22
11020,click,2020-12-15 14:36:35
11019,impression,2019-12-03 22:59:09
11020,impression,2020-03-25 10:10:05
11015,impression,2020-03-08 17:38:16
11005,impression,2019-12-02 16:03:34
11001,impression,2019-07-28 13:57:47
11015,click,2019-05-11 23:50:28
11020,impression,2019-04-26 22:13:01
11015,impression,2020-07-04 12:30:37
11008,click,2019-03-18 14:48:34
11012,click,2019-04-10 21:50:40
11013,click,2019-02-26 04:37:55
11003,click,2020-05-03 17:18:28
11001,impression,2020-09-29 12:55:01
11012,click,2019-11-16 01:41:23
11005,click,2020-04-23 17:11:47
11010,impression,2019-01-17 19:59:36
11014,impression,2020-04-10 19:42:55
11003,impression,2020-02-22 02:45:28
11000,click,2020-02-14 22:05:43
11018,impression,2019-05-21 18:21:50
11008,impression,2019-10-09 08:42:20
11013,click,2019-07-03 06:00:20
11018,click,2020-08-22 10:50:03
11011,impression,2019-06-28 14:37:52
11012,click,2020-05-03 05:45:29
11020,click,2019-04-06 00:04:24
11002,click,2019-08-19 23:49:20
11011,click,2019-07-26 14:41:21
11001,impression,2019-06-25 20:19:44
11005,click,2019-10-25 16:07:13
11012,click,2020-11-10 07:13:07
11009,click,2019-10-19 00:46:00
11008,click,2020-11-22 13:39:40
11007,click,2019-02-01 09:07:03
11018,click,2019-05-28 10:13:45
11006,click,2019-01-03 11:50:07
11000,click,2019-04-19 03:56:16
11000,click,2020-03-10 05:44:53
11020,impression,2019-09-01 04:59:31
11007,click,2019-11-27 03:27:12
11005,impression,2019-05-09 12:39:57
11003,impression,2020-02-20 07:32:22
11019,click,2020-12-02 08:40:12
11012,impression,2019-05-12 19:59:19
11014,click,2019-09-07 00:41:20
11012,click,2020-11-14 03:16:12
11008,impression,2019-07-19 14:45:28
11015,impression,2019-01-31 08:09:42
11014,impression,2019-10-26 02:09:37
11009,click,2020-08-23 18:59:16
11008,impression,2019-12-19 12:46:48
11016,impression,2020-09-23 15:34:38
11017,impression,2019-10-17 20:06:52
11019,click,2019-08-17 21:23:43
11018,click,2020-03-24 20:52:32
11014,click,2019-02-24 05:57:27
11004,click,2020-06-21 23:31:08
11012,click,2020-08-24 17:37:11
11020,click,2020-01-18 22:02:32
11007,click,2020-01-14 12:26:59
11017,click,2020-09-27 23:07:42
11003,impression,2020-04-11 10:58:25
11002,impression,2019-05-13 01:52:39
11004,impression,2019-06-25 07:14:50
11004,impression,2019-03-05 21:57:19
11008,click,2019-09-29 02:58:51
11008,click,2020-05-28 12:39:57
11004,impression,2019-08-26 13:27:23
11002,impression,2019-08-04 14:31:37
11015,click,2020-04-05 14:21:06
11000,click,2019-06-16 22:36:10
11015,impression,2020-02-25 00:39:52
11015,impression,2020-03-24 02:33:40
11018,impression,2019-05-22 12:45:22
11011,click,2019-09-25 22:05:00
11009,impression,2019-12-16 17:44:51
11016,impression,2019-12-16 23:25:39
11000,impression,2020-02-05 00:09:19
11012,click,2019-09-05 07:00:47
11010,impression,2019-12-30 06:49:34
11002,impression,2019-06-12 09:07:59
11011,click,2020-02-23 09:19:45
11020,impression,2019-03-19 18:40:18
11020,click,2020-05-27 13:37:10
11018,click,2019-08-24 16:45:46
11009,click,2019-01-20 01:06:36
11018,impression,2019-03-19 09:29:47
11015,click,2020-09-26 14:47:41
11014,click,2020-01-19 13:16:15
11013,impression,2020-10-11 21:10:12
11001,click,2020-06-28 08:32:55
11011,click,2019-08-31 08:27:39
11019,click,2020-02-10 00:25:47
11013,click,2019-08-17 21:53:42
11011,click,2020-01-06 21:34:24
11008,click,2019-07-15 00:52:10
11000,click,2020-04-24 07:46:27
11009,click,2019-05-08 13:01:28
11013,click,2020-11-21 08:29:32
11017,impression,2019-02-19 21:15:42
11003,impression,2019-03-16 00:00:48
11014,impression,2020-11-27 12:13:18
11020,click,2020-10-19 23:13:58
11014,impression,2020-03-12 02:03:05
11007,click,2019-08-05 09:48:36
11002,impression,2019-01-19 05:45:07
11016,click,2020-06-12 15:22:33
11008,impression,2020-01-13 00:20:03
11020,impression,2020-09-12 12:16:21
11006,click,2020-10-23 01:40:05
11001,click,2019-01-27 06:16:06
11009,impression,2020-12-18 17:15:51
11016,impression,2019-08-09 08:00:06
11010,impression,2020-01-05 16:51:41
11018,impression,2019-06-23 06:30:18
11015,impression,2019-06-27 00:36:50
11007,click,2020-07-08 03:44:33
11006,impression,2019-08-24 08:56:24
11014,impression,2020-10-28 09:58:35
11002,click,2019-12-10 19:29:51
11003,impression,2019-11-17 02:15:26
11013,impression,2019-05-26 20:38:06
11014,click,2020-09-03 01:06:32
11015,impression,2019-11-22 11:55:43
11016,impression,2019-10-07 13:51:08
11009,click,2020-04-23 15:04:10
11004,impression,2020-03-22 21:38:34
11007,impression,2020-07-06 20:12:08
11010,click,2019-09-04 21:54:31
11003,click,2020-01-30 19:37:20
11004,impression,2020-09-21 02:09:00
11018,impression,2019-05-19 09:32:57
11019,click,2019-06-24 00:28:22
11000,click,2019-08-28 19:04:42
11019,click,2019-06-28 07:09:47
11018,impression,2019-08-09 09:15:46
11018,impression,2019-09-30 07:00:44
11009,impression,2020-10-25 09:13:50
11014,click,2019-08-16 23:55:14
11010,click,2019-02-10 07:32:23
11010,impression,2019-05-07 04:53:06
11014,click,2020-01-04 06:17:28
11019,click,2019-02-08 05:09:43
11005,impression,2020-03-25 15:24:38
11007,click,2019-03-25 09:51:29
11013,impression,2020-02-06 01:48:42
11020,impression,2020-06-23 22:08:49
11008,click,2020-10-21 10:14:01
11002,impression,2019-04-16 16:01:56
11015,impression,2020-04-27 05:53:49
11018,impression,2020-02-08 19:27:05
11016,impression,2019-03-15 16:46:35
11014,click,2020-05-18 22:05:49
11004,impression,2019-08-04 05:08:13
11002,click,2019-12-27 16:45:30
11010,click,2019-09-22 14:56:41
11010,impression,2019-09-02 07:26:47
11008,impression,2020-05-06 20:21:01
11016,impression,2019-11-10 17:05:14
11019,impression,2019-04-25 19:53:25
11003,click,2020-04-04 09:21:56
11016,click,2019-09-12 02:49:36
11010,click,2019-01-09 10:21:19
11006,impression,2019-12-05 02:56:14
11000,impression,2019-09-06 18:56:41
11018,click,2020-02-16 00:17:21
11002,impression,2020-08-31 04:52:15
11015,click,2019-01-16 07:52:07
11009,click,2020-05-25 23:27:39
11005,click,2020-04-18 03:20:10
11010,click,2020-08-11 19:06:55
11017,click,2020-10-05 01:19:59
11019,impression,2020-08-09 20:43:38
11006,click,2019-06-02 20:35:11
11014,impression,2020-02-05 01:30:48
11007,click,2019-05-22 08:24:14
11000,impression,2020-02-03 06:00:03
11000,impression,2020-01-08 15:24:34
11008,impression,2020-09-25 01:09:32
11004,impression,2019-01-02 06:36:38
11014,impression,2019-01-14 22:17:21
11002,click,2020-02-06 21:28:30
11017,click,2019-03-28 22:59:19
11014,click,2020-01-19 03:36:16
11001,click,2020-06-22 13:52:13
11019,impression,2019-01-19 14:04:48
11001,click,2019-05-25 16:02:55
11016,click,2019-04-24 09:12:50
11007,impression,2020-02-20 13:10:44
11005,impression,2019-08-10 02:37:54
11013,click,2019-10-20 03:03:19
11005,click,2020-02-19 07:51:23
11014,click,2019-10-14 08:16:58
11017,click,2019-09-02 18:20:57
11010,impression,2019-06-21 01:05:21
11008,impression,2020-06-09 13:43:21
11003,impression,2019-03-16 23:56:38
11009,click,2019-09-20 01:21:47
11011,click,2020-09-04 17:07:35
11016,click,2019-03-21 03:05:44
11013,click,2020-05-04 10:57:57
11016,click,2019-11-06 11:26:27
11020,click,2019-08-05 15:12:26
11010,click,2020-08-26 04:30:17
11018,click,2020-02-17 12:34:19
11015,impression,2019-07-24 00:19:12
11016,click,2019-05-02 23:06:24
11018,click,2020-07-07 09:08:51
11005,click,2019-11-30 19:07:13
11009,impression,2019-04-30 05:18:08
11001,impression,2020-07-19 08:55:36
11003,click,2020-08-27 19:40:05
11012,impression,2020-10-25 07:41:47
11008,impression,2020-01-24 02:11:04
11002,click,2020-01-12 03:53:14
11004,impression,2020-10-31 23:51:36
11020,click,2019-03-13 12:12:06
11008,impression,2020-02-29 08:48:09
11007,impression,2019-08-04 01:56:47
11011,click,2019-05-23 10:57:49
11011,click,2020-10-14 17:17:19
11014,click,2020-10-13 04:46:40
11001,impression,2020-07-26 11:49:43
11006,click,2019-06-07 12:23:56
11019,click,2019-12-14 09:38:09
11010,impression,2019-11-01 05:52:57
11018,click,2020-03-27 21:43:07
11006,impression,2020-10-28 20:19:18
11009,click,2020-01-13 18:09:19
11020,click,2020-03-19 05:56:56
11015,impression,2019-10-24 00:00:43
11002,impression,2019-08-04 00:06:22
11001,click,2020-01-16 20:36:02
11017,click,2020-09-04 10:10:54
11011,impression,2020-08-21 16:54:53
11005,impression,2020-04-23 08:59:25
11002,click,2020-12-16 14:59:29
11003,impression,2019-10-19 19:12:40
11014,impression,2019-03-11 04:45:13
11011,click,2020-05-05 11:50:30
11002,click,2020-02-25 02:31:53
11020,click,2019-04-15 17:52:04
11013,click,2019-11-07 18:08:57
11004,click,2019-06-06 11:18:52
11009,impression,2020-07-21 18:48:18
11019,click,2020-03-28 09:34:44
11019,click,2019-08-02 08:50:48
11004,click,2020-08-04 02:55:13
11007,impression,2020-12-05 18:00:09
11007,impression,2020-01-31 05:07:25
11012,impression,2020-10-28 17:18:14
11016,impression,2019-12-01 06:38:03
11018,click,2020-12-23 19:38:59
